final_standard_trait,broad_category,trait_value_type,standard_unit,description,harmonised_levels
flower_color_UV_reflectance,flower_color,quantitative,,Flower ultraviolet reflectance value or score.,
flower_color_blue,flower_color,quantitative,,Flower color blue-channel value.,
flower_color_brightness,flower_color,quantitative,,"Flower color brightness, lightness, value, or luminance.",
flower_color_conspicuous,flower_color,categorical,,Quantitative or categorical measure of flower color conspicuousness.,conspicuous;medium flowers very small;unconspicuous
flower_color_green,flower_color,quantitative,,Flower color green-channel value.,
flower_color_hue,flower_color,quantitative,degrees,Flower color hue angle or equivalent quantitative hue value.,
flower_color_red,flower_color,quantitative,,Flower color red-channel value.,
flower_color_saturation,flower_color,quantitative,,Flower color saturation or chroma-like quantitative value.,
growth_form,plant_form,categorical,,"Plant habit or growth form, such as tree, shrub, herb, climber/liana, palm, epiphyte, graminoid, or succulent.",aquatic;climber_liana;epiphyte;fern;graminoid;herb;orchid;palm;parasite;shrub;subshrub;succulent;tree;woody
lifespan,plant_form,categorical,,"Life span or life-cycle category, such as annual, biennial, perennial, or woody/herbaceous duration classes.",annual;biennial;perennial;short_lived_perennial;woody_perennial
plant_height,plant_form,quantitative,m,Plant height.,
longevity,demography,quantitative,years,Plant longevity or maximum lifespan as a quantitative value.,
mycorrhizal,root,categorical,,Mycorrhizal association or mycorrhizal type.,arbuscular;ectomycorrhiza;ericoid_mycorrhiza;facultatively_arbuscular;mycorrhizal;nonmycorrhizal;orchid_mycorrhiza;uncertain
